expected_sales_service_administrarive_dong_code,expected_sales_service_yn
11110515,TRUE
11110530,FALSE
11110540,FALSE
11110550,TRUE
11110560,FALSE
11110570,FALSE
11110580,TRUE
11110600,TRUE
11110615,FALSE
11110630,TRUE
11110640,TRUE
11110650,TRUE
11110670,FALSE
11110680,FALSE
11110690,FALSE
11110700,FALSE
11110710,FALSE
11140520,FALSE
11140540,FALSE
11140550,FALSE
11140570,TRUE
11140580,TRUE
11140590,TRUE
11140605,FALSE
11140615,FALSE
11140625,FALSE
11140635,FALSE
11140645,FALSE
11140650,TRUE
11140665,FALSE
11140670,FALSE
11140680,FALSE
11170510,TRUE
11170520,FALSE
11170530,FALSE
11170555,TRUE
11170560,FALSE
11170570,FALSE
11170580,FALSE
11170590,FALSE
11170625,TRUE
11170630,TRUE
11170640,FALSE
11170650,FALSE
11170660,TRUE
11170685,TRUE
11170690,FALSE
11170700,TRUE
11200520,FALSE
11200535,FALSE
11200540,FALSE
11200550,TRUE
11200560,FALSE
11200570,TRUE
11200580,FALSE
11200590,FALSE
11200615,TRUE
11200620,FALSE
11200645,TRUE
11200650,FALSE
11200660,TRUE
11200670,TRUE
11200690,FALSE
11200720,FALSE
11200790,FALSE
11215710,TRUE
11215730,FALSE
11215740,TRUE
11215750,TRUE
11215760,TRUE
11215770,FALSE
11215780,TRUE
11215810,FALSE
11215820,FALSE
11215830,TRUE
11215840,FALSE
11215847,FALSE
11215850,FALSE
11215860,TRUE
11215870,FALSE
11230536,FALSE
11230545,TRUE
11230560,TRUE
11230570,TRUE
11230600,FALSE
11230610,TRUE
11230650,TRUE
11230660,TRUE
11230705,TRUE
11230710,TRUE
11230720,TRUE
11230730,TRUE
11230740,TRUE
11230750,FALSE
11260520,FALSE
11260540,FALSE
11260550,FALSE
11260565,TRUE
11260570,FALSE
11260575,TRUE
11260580,FALSE
11260590,TRUE
11260600,TRUE
11260610,TRUE
11260620,TRUE
11260630,FALSE
11260655,TRUE
11260660,FALSE
11260680,TRUE
11260690,FALSE
11290525,TRUE
11290555,TRUE
11290575,TRUE
11290580,FALSE
11290590,FALSE
11290600,TRUE
11290610,FALSE
11290620,FALSE
11290630,FALSE
11290640,FALSE
11290650,FALSE
11290660,FALSE
11290685,TRUE
11290705,TRUE
11290715,TRUE
11290725,TRUE
11290760,FALSE
11290770,FALSE
11290780,TRUE
11290810,TRUE
11305534,FALSE
11305535,TRUE
11305545,FALSE
11305555,TRUE
11305575,FALSE
11305595,FALSE
11305603,FALSE
11305608,FALSE
11305615,FALSE
11305625,FALSE
11305635,FALSE
11305645,FALSE
11305660,FALSE
11320511,TRUE
11320512,FALSE
11320513,FALSE
11320514,FALSE
11320515,TRUE
11320521,FALSE
11320522,TRUE
11320660,FALSE
11320670,FALSE
11320680,TRUE
11320681,FALSE
11320690,TRUE
11320700,TRUE
11320710,FALSE
11350560,FALSE
11350570,FALSE
11350580,FALSE
11350595,FALSE
11350600,TRUE
11350611,FALSE
11350612,FALSE
11350619,TRUE
11350621,TRUE
11350624,FALSE
11350625,FALSE
11350630,TRUE
11350640,TRUE
11350665,TRUE
11350670,TRUE
11350695,TRUE
11350700,FALSE
11350710,FALSE
11350720,FALSE
11380510,FALSE
11380520,FALSE
11380530,TRUE
11380551,FALSE
11380552,TRUE
11380560,FALSE
11380570,TRUE
11380580,TRUE
11380590,FALSE
11380600,TRUE
11380625,TRUE
11380631,FALSE
11380632,FALSE
11380640,FALSE
11380650,FALSE
11380690,FALSE
11410520,FALSE
11410555,FALSE
11410565,TRUE
11410585,TRUE
11410615,FALSE
11410620,TRUE
11410640,FALSE
11410655,FALSE
11410660,FALSE
11410685,FALSE
11410690,FALSE
11410700,FALSE
11410710,FALSE
11410720,TRUE
11440555,FALSE
11440565,TRUE
11440585,TRUE
11440590,TRUE
