행정동_코드,예측값,실제값,오차,오차퍼센트,2019년_매출_금액,2021년_매출_금액,2020년_매출_금액,2022년_매출_금액,2023년_예측_매출_금액
11530790,273324753.5,230594094,42730659.48,18.53068252,461431365.0,258213822.0,314202111.0,232834356,131225584.5
11230730,340193731.2,288321123,51872608.17,17.99126184,310942617.0,284853021.0,437499171.0,317169648,304124850.0
11200690,1359800073.0,646800492,712999580.5,110.2348544,401666922.0,708611517.0,688215150.0,702070395,855542692.5
11470560,350523612.7,288114570,62409042.68,21.66118939,468733122.0,293368341.0,412876917.0,316617954,228935563.5
11140665,152512276.8,90034548,62477728.82,69.39306101,273454044.0,149929074.0,218052825.0,126325146,64562661.0
11590540,498802453.8,372093513,126708940.8,34.05298302,1497934800.0,573540288.0,1023871206.0,474509577,12312321.0
11110515,343213251.4,255551025,87662226.35,34.30321845,287690613.0,220352760.0,267259536.0,384776724,351107797.5
11260600,203221813.6,180000000,23221813.57,12.90100754,180000000.0,180000000.0,180000000.0,180000000,180000000.0
11500530,282381844.2,261499155,20882689.17,7.985757801,400710864.0,330994692.0,407973924.0,280127868,245269782.0
11170660,420088276.6,393999216,26089060.57,6.621602153,369673410.0,541646421.0,383170131.0,543860520,629847025.5
11305660,473021879.1,346352523,126669356.1,36.57237863,431866641.0,317061834.0,408318339.0,352621683,295219279.5
11215730,779049226.5,634032783,145016443.5,22.8720734,743388906.0,422332782.0,553177407.0,444664326,284136264.0
11440710,3932894334.0,1816473903,2116420431.0,116.5125702,226591110.0,505491513.0,265068075.0,1054137663,1193587864.5
11380600,971069976.7,818060481,153009495.7,18.7039344,881199597.0,781302561.0,880448154.0,770597115,720648597.0
11560610,625074538.1,562697961,62376577.14,11.08526802,912020268.0,689038416.0,996570618.0,514247709,402756783.0
11215810,674781851.3,183552465,491229386.3,267.6234211,209544330.0,188404392.0,213380817.0,203572857,193002888.0
11350670,913961360.4,864263469,49697891.41,5.750317258,3347399181.0,2617381950.0,3201075234.0,1747398735,1382390119.5
11470630,527682335.9,479202999,48479336.9,10.11665975,1613526123.0,635907672.0,1154115522.0,424130064,-64679161.5
11590550,491748952.5,497958222,-6209269.512,1.246945876,625165131.0,465751170.0,565836702.0,502299045,422592064.5
11350595,1840115635.0,1630297725,209817909.6,12.86991366,2252707602.0,1415795466.0,1776421269.0,1546515264,1128059196.0
11710550,501565659.7,527989995,-26424335.29,5.00470379,832096035.0,795063621.0,815273070.0,674726727,656210520.0
11740600,851259070.0,870955473,-19696402.98,2.261470717,1746389571.0,1134153330.0,1520997198.0,989228214,683110093.5
11230720,357901627.6,281070000,76831627.63,27.33540671,289269084.0,409997511.0,467845722.0,364940004,425304217.5
11200645,931355293.2,909189060,22166233.18,2.438022426,2489807076.0,1373677299.0,2145263571.0,1213808175,655743286.5
11740590,309320824.4,313221024,-3900199.56,1.245190859,447993918.0,584394009.0,452576931.0,570022569,638222614.5
11680590,2723904031.0,2349585636,374318394.9,15.93125142,4540575531.0,3288865122.0,4102075797.0,2855858070,2230002865.5
11500641,186230270.4,106317861,79912409.38,75.163673,150442980.0,108446160.0,124501194.0,94844985,73846575.0
11200650,967598598.8,985255452,-17656853.22,1.792109162,2731799355.0,1612030599.0,2391152958.0,1080387051,520502673.0
11740620,1638372157.0,1478042511,160329645.5,10.84743127,3960178935.0,2653846752.0,4271701788.0,1921132812,1267966720.5
11440590,903600600.8,793202151,110398449.8,13.91807242,741658329.0,1104472749.0,1076504379.0,955003113,1136410323.0
11650580,707052379.0,438739005,268313374.0,61.1555779,1003635324.0,508324263.0,681804414.0,522325710,274670179.5
11740685,3661794460.0,1913912469,1747881991.0,91.32507465,3159171753.0,2070569067.0,3023448090.0,1934262993,1389961650.0
11290715,487687666.8,453080907,34606759.81,7.638097142,393181062.0,439818924.0,455266677.0,408588996,431907927.0
11560680,393070402.1,289610064,103460338.1,35.72401341,419312682.0,343816806.0,402229413.0,362585631,324837693.0
11620765,577767038.7,650420952,-72653913.27,11.17029103,1306536597.0,888086088.0,1180022202.0,764876448,555651193.5
11620655,402386199.6,446668773,-44282573.36,9.91396221,681554112.0,493901211.0,604165707.0,500022219,406195768.5
11710600,2907310672.0,2956431348,-49120676.37,1.661485439,2029679703.0,4561073007.0,4620290541.0,3677346510,4943043162.0
11440630,838353977.4,934299795,-95945817.56,10.26927524,751653810.0,971851050.0,661250178.0,995719266,1105817886.0
11215780,790265115.2,720000000,70265115.17,9.759043774,720000000.0,720000000.0,720000000.0,720000000,720000000.0
11305545,1228215594.0,1169300265,58915328.76,5.038511537,839139381.0,578034243.0,725492937.0,543855819,413303250.0
11620525,939968169.6,901206498,38761671.56,4.30108656,405063117.0,208125957.0,352239519.0,163418148,64949568.0
11215860,797663209.7,782138292,15524917.73,1.984932574,1130253603.0,945369978.0,1089398373.0,930223620,837781807.5
11140635,501764521.0,479356032,22408488.96,4.674706787,793434192.0,416115894.0,656306012.0,399197100,210537951.0
11380520,1192691493.0,1223934804,-31243311.07,2.552694062,4672975638.0,1917774225.0,3811039299.0,1190518074,-187082632.5
11440600,1292719719.0,1346978985,-54259266.42,4.028219224,3136809060.0,1854276363.0,2406761139.0,1696341954,1055075605.5
11110580,746696359.4,779449716,-32753356.62,4.202112843,1399814886.0,1160175921.0,1242158142.0,817114524,697295041.5
11200560,1293190813.0,1064327754,228863059.3,21.50306223,1303499031.0,591756099.0,670904427.0,897866238,541994772.0
11530730,513430247.2,516519540,-3089292.834,0.59809796,736080105.0,626098710.0,680086473.0,573144117,518153419.5
11260610,1328516411.0,1411506252,-82989841.15,5.879523455,2499815292.0,1582842474.0,2314607316.0,1372248069,913761660.0
11650621,1540753145.0,1545810573,-5057427.804,0.327169958,1872370365.0,2634644802.0,3085272756.0,1955425794,2336563012.5
11470600,399514145.6,328423692,71090453.56,21.64595773,279205296.0,342105528.0,322633074.0,333005967,364456083.0
11620735,2904550424.0,3015652251,-111101827.2,3.684172376,3224443245.0,2411655120.0,3129072090.0,2242737438,1836343375.5
11320522,554801574.1,546113175,8688399.141,1.590952121,465369183.0,440902449.0,487071582.0,573239337,561005970.0
11590520,840276234.5,807596247,32679987.53,4.046574963,684000000.0,740175783.0,684000000.0,843081639,871169530.5
11590660,2613975956.0,2590607838,23368117.74,0.902032233,3288345324.0,2946650385.0,4612795161.0,2373223566,2202376096.5
11560550,2319909709.0,2299050687,20859021.93,0.907288476,3579565944.0,1490471130.0,2773228614.0,1627887687,583340280.0
11500590,1771645595.0,1789799643,-18154047.54,1.014306133,3887742984.0,2451906576.0,3539546487.0,1928913060,1210994856.0
11170700,911154854.3,970439862,-59285007.72,6.109086203,1628831799.0,945708258.0,1336198812.0,1065645513,724083742.5
11170510,778237630.4,789725100,-11487469.57,1.454616242,837680463.0,725570724.0,783706887.0,729584967,673530097.5
11620695,2515829012.0,2570471637,-54642624.89,2.125782059,2889546678.0,2261453619.0,2723404881.0,1711096881,1397050351.5
11200660,3265413224.0,4051078053,-785664829.3,19.39396919,2405239296.0,2923381518.0,2412140268.0,3883842666,4142913777.0
11590670,509249249.6,453002004,56247245.62,12.41655558,475212225.0,434102325.0,537263109.0,409457955,388903005.0
